Name,G,PA,AVG,OBP,SLG
Wilson Ramos,26,104,0.43,0.452,0.59
Peter Alonso,29,126,0.306,0.389,0.622
Jeff McNeil,19,80,0.286,0.375,0.657
Michael Conforto,28,126,0.275,0.365,0.532
J.D. Davis,27,106,0.309,0.368,0.606
Amed Rosario,27,129,0.315,0.341,0.403
Joe Panik,23,83,0.273,0.317,0.39
Todd Frazier,28,109,0.218,0.275,0.396
Juan Lagares,26,82,0.23,0.296,0.324
Alex Bregman,20,89,0.403,0.483,0.766
Yuli Gurriel,21,88,0.359,0.42,0.705
Yordan Alvarez,21,93,0.316,0.419,0.711
Jose Altuve,22,102,0.304,0.356,0.63
Carlos Correa,15,66,0.245,0.379,0.566
George Springer,20,97,0.282,0.371,0.4
Robinson Chirinos,14,58,0.25,0.259,0.411
Josh Reddick,18,68,0.206,0.227,0.302
Keston Hiura,21,88,0.377,0.455,0.753
Christian Yelich,19,87,0.359,0.425,0.641
Yasmani Grandal,20,75,0.258,0.387,0.387
Ryan Braun,19,64,0.268,0.333,0.554
Lorenzo Cain,21,92,0.253,0.315,0.41
Jesus Aguilar,17,44,0.3,0.341,0.55
Mike Moustakas,19,80,0.254,0.338,0.437
Tyler Saladino,18,46,0.146,0.239,0.293
Eric Thames,20,63,0.182,0.286,0.364
Orlando Arcia,21,68,0.19,0.284,0.19
Kevin Newman,20,93,0.384,0.424,0.616
Bryan Reynolds,18,76,0.394,0.461,0.576
Corey Dickerson,18,52,0.354,0.385,0.604
Starling Marte,19,84,0.24,0.289,0.493
Adam Frazier,19,64,0.271,0.313,0.39
Elias Diaz,19,64,0.236,0.344,0.327
Colin Moran,19,66,0.262,0.273,0.431
Josh Bell,20,91,0.197,0.308,0.434
Melky Cabrera,16,46,0.196,0.196,0.283
Jose Altuve,17,79,0.431,0.481,0.764
Yuli Gurriel,18,76,0.425,0.447,0.753
Yordan Alvarez,17,69,0.31,0.42,0.638
George Springer,16,78,0.224,0.333,0.567
Michael Brantley,17,72,0.306,0.389,0.565
Robinson Chirinos,14,48,0.3,0.417,0.45
Alex Bregman,16,72,0.214,0.375,0.411
Josh Reddick,16,61,0.214,0.262,0.25
Christian Yelich,18,84,0.453,0.5,0.907
Mike Moustakas,17,72,0.31,0.444,0.69
Yasmani Grandal,17,72,0.246,0.375,0.526
Eric Thames,15,52,0.318,0.423,0.659
Lorenzo Cain,18,77,0.246,0.325,0.261
Travis Shaw,13,45,0.184,0.311,0.289
Hernan Perez,15,44,0.205,0.256,0.282
Orlando Arcia,18,72,0.179,0.222,0.358
Ryan Braun,17,71,0.235,0.268,0.382
Ben Gamel,12,37,0.176,0.243,0.206
Marcus Semien,17,80,0.375,0.438,0.597
Matt Olson,17,69,0.267,0.362,0.567
Ramon Laureano,17,67,0.29,0.328,0.548
Robbie Grossman,11,42,0.351,0.429,0.541
Matt Chapman,16,73,0.234,0.329,0.375
Jurickson Profar,14,56,0.308,0.357,0.462
Mark Canha,12,43,0.242,0.395,0.424
Josh Phegley,14,45,0.205,0.267,0.436
Khris Davis,17,74,0.246,0.297,0.449
Stephen Piscotty,14,57,0.148,0.175,0.315
Starling Marte,17,78,0.386,0.449,0.586
Bryan Reynolds,18,70,0.385,0.429,0.569
Colin Moran,18,67,0.333,0.373,0.635
Josh Bell,17,77,0.314,0.364,0.6
Adam Frazier,16,67,0.267,0.333,0.433
Cole Tucker,12,34,0.281,0.324,0.438
Melky Cabrera,13,41,0.316,0.366,0.447
Kevin Newman,18,72,0.273,0.319,0.394
Elias Diaz,16,60,0.304,0.333,0.429
Gregory Polanco,14,56,0.196,0.255,0.353
Anthony Rendon,17,76,0.4,0.474,0.831
Juan Soto,17,75,0.274,0.4,0.5
Victor Robles,17,65,0.271,0.328,0.525
Adam Eaton,16,78,0.314,0.385,0.4
Yan Gomes,10,41,0.216,0.293,0.351
Wilmer Difo,16,58,0.216,0.298,0.353
Ryan Zimmerman,16,61,0.196,0.311,0.294
Brian Dozier,15,56,0.192,0.25,0.327
Austin Meadows,16,69,0.407,0.493,0.915
Tommy Pham,14,63,0.351,0.413,0.456
Joey Wendle,15,56,0.308,0.357,0.385
Ji-Man Choi,15,54,0.205,0.389,0.513
Willy Adames,16,55,0.234,0.327,0.383
Avisail Garcia,12,51,0.313,0.333,0.5
Travis d'Arnaud,12,47,0.244,0.298,0.39
Matt Duffy,11,32,0.308,0.406,0.346
Kevin Kiermaier,11,34,0.1,0.206,0.133
Nathaniel Lowe,13,34,0.188,0.206,0.281
Ramon Laureano,16,69,0.431,0.478,0.931
Matt Chapman,14,55,0.36,0.418,0.64
Marcus Semien,16,78,0.265,0.359,0.588
Mark Canha,15,66,0.278,0.409,0.611
Robbie Grossman,14,53,0.349,0.472,0.419
Matt Olson,16,71,0.297,0.366,0.516
Chad Pinder,13,37,0.229,0.243,0.343
Josh Phegley,10,37,0.176,0.216,0.265
Franklin Barreto,11,37,0.139,0.162,0.333
Khris Davis,15,64,0.161,0.266,0.179
Ramon Laureano,17,67,0.365,0.388,0.651
Matt Chapman,17,78,0.292,0.346,0.597
Mark Canha,15,53,0.261,0.358,0.696
Josh Phegley,14,47,0.275,0.348,0.575
Stephen Piscotty,14,61,0.309,0.361,0.491
Jurickson Profar,17,71,0.231,0.296,0.492
Marcus Semien,17,80,0.194,0.275,0.389
Matt Olson,17,73,0.203,0.301,0.469
Robbie Grossman,16,63,0.259,0.302,0.414
Jean Segura,16,73,0.343,0.397,0.552
J.T. Realmuto,15,63,0.267,0.302,0.55
Andrew McCutchen,16,73,0.306,0.411,0.548
Cesar Hernandez,16,64,0.31,0.375,0.517
Bryce Harper,16,72,0.23,0.333,0.393
Rhys Hoskins,16,71,0.214,0.352,0.339
Odubel Herrera,16,50,0.186,0.3,0.302
Maikel Franco,14,52,0.18,0.212,0.26
George Springer,17,76,0.318,0.395,0.682
Alex Bregman,17,77,0.279,0.416,0.656
Carlos Correa,16,71,0.333,0.366,0.682
Michael Brantley,16,72,0.353,0.375,0.662
Robinson Chirinos,12,47,0.316,0.413,0.553
Josh Reddick,16,63,0.351,0.413,0.509
Jose Altuve,17,72,0.167,0.306,0.333
Yuli Gurriel,15,62,0.19,0.242,0.31
Paul DeJong,18,80,0.389,0.45,0.639
Marcell Ozuna,17,74,0.295,0.419,0.754
Dexter Fowler,16,62,0.389,0.468,0.537
Jose Martinez,18,58,0.426,0.448,0.556
Paul Goldschmidt,18,81,0.311,0.37,0.514
Yadier Molina,16,67,0.328,0.328,0.516
Kolten Wong,18,71,0.182,0.366,0.273
Matt Carpenter,17,74,0.197,0.338,0.344
Trevor Story,16,74,0.358,0.405,0.597
Nolan Arenado,15,70,0.281,0.329,0.625
Raimel Tapia,15,42,0.308,0.357,0.744
Ryan McMahon,9,39,0.286,0.359,0.457
Tony Wolters,11,40,0.313,0.425,0.406
David Dahl,10,42,0.333,0.366,0.538
Charlie Blackmon,16,79,0.297,0.342,0.527
Mark Reynolds,16,42,0.182,0.333,0.364
Ian Desmond,14,49,0.239,0.265,0.478
Garrett Hampson,11,48,0.222,0.255,0.378
Keston Hiura,16,67,0.458,0.522,0.932
Christian Yelich,14,64,0.386,0.453,0.719
Yasmani Grandal,15,54,0.273,0.407,0.386
Ryan Braun,14,50,0.262,0.347,0.595
Lorenzo Cain,16,74,0.269,0.338,0.418
Jesus Aguilar,15,40,0.278,0.325,0.528
Mike Moustakas,15,63,0.25,0.333,0.411
Tyler Saladino,15,40,0.171,0.275,0.343
Eric Thames,16,47,0.2,0.319,0.375
Orlando Arcia,16,49,0.1,0.229,0.1
Whit Merrifield,15,70,0.41,0.486,0.59
Jorge Soler,15,62,0.321,0.419,0.604
Alex Gordon,15,65,0.327,0.4,0.4
Hunter Dozier,15,65,0.276,0.354,0.466
Martin Maldonado,11,37,0.206,0.25,0.441
Adalberto Mondesi,11,48,0.244,0.239,0.378
Nicky Lopez,15,60,0.25,0.288,0.304
Cheslor Cuthbert,13,48,0.239,0.271,0.326
Trevor Story,14,64,0.382,0.469,0.782
David Dahl,15,65,0.424,0.477,0.661
Daniel Murphy,15,60,0.364,0.417,0.582
Ian Desmond,15,53,0.277,0.358,0.468
Tony Wolters,10,42,0.297,0.333,0.405
Brendan Rodgers,12,37,0.324,0.378,0.382
Ryan McMahon,12,46,0.2,0.304,0.35
Raimel Tapia,14,66,0.226,0.273,0.306
Kris Bryant,15,69,0.364,0.493,0.873
Willson Contreras,14,56,0.375,0.429,0.646
Anthony Rizzo,11,51,0.302,0.392,0.605
Albert Almora Jr.,15,54,0.245,0.245,0.491
Kyle Schwarber,14,57,0.175,0.404,0.325
David Bote,12,51,0.182,0.275,0.205
Jason Heyward,15,65,0.133,0.2,0.267
Melky Cabrera,14,49,0.4,0.449,0.6
Starling Marte,14,69,0.328,0.348,0.493
Gregory Polanco,12,57,0.275,0.351,0.51
Francisco Cervelli,9,33,0.192,0.344,0.231
Bryan Reynolds,14,43,0.25,0.302,0.375
Adam Frazier,15,67,0.234,0.269,0.344
Colin Moran,15,47,0.214,0.277,0.31
Cole Tucker,14,45,0.143,0.182,0.214
Elias Diaz,9,30,0.138,0.167,0.172
